id,host_name,host_since,latitude,longitude,room_type,bathrooms,bedrooms,beds,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,has_availability,availability_30,availability_60,availability_90,availability_365,x,y
19521539,South Kohala,11/10/2015,20.00247588,-155.8084177,Entire home/apt,2,2,4,733,,,$0.00 ,$315.00 ,1,$0.00 ,t,12,20,20,263,206138.6667,2214220.185
19521547,South Kohala,11/10/2015,20.00642613,-155.810863,Entire home/apt,3.5,3,4,2443,,,$0.00 ,$618.00 ,1,$0.00 ,t,7,23,34,257,205889.9913,2214662.023
19521552,South Kohala,11/10/2015,19.93891505,-155.8732218,Entire home/apt,4.5,4,4,5496,,,$0.00 ,$879.00 ,1,$0.00 ,t,16,16,18,244,199232.8088,2207294.907
20233011,Adam,1/2/2016,20.04075492,-155.6240941,Entire home/apt,1,1,2,85,,,$0.00 ,$40.00 ,2,$20.00 ,t,11,28,51,326,225502.8254,2218146.405
20286842,Marie Fellenstein,11/11/2013,20.02624487,-155.6775215,Entire home/apt,1,1,1,80,,,$100.00 ,$75.00 ,2,$0.00 ,t,10,28,35,125,219885.1249,2216628.087
20525374,Katherine,2/20/2012,20.04678929,-155.6056279,Entire home/apt,1,0,1,95,,,$0.00 ,$60.00 ,2,$20.00 ,t,11,24,46,259,227445.9627,2218784.456
21024272,Noelani,10/27/2015,19.59222279,-155.9676386,Entire home/apt,2,4,5,379,,,$500.00 ,$250.00 ,1,$0.00 ,t,6,14,28,265,188669.3085,2169063.025
21027236,Noelani,9/20/2017,20.03728299,-155.637728,Entire home/apt,2.5,3,3,239,,,$100.00 ,$200.00 ,1,$0.00 ,t,10,18,33,297,224069.7869,2217784.356
21044504,Robert,2/11/2016,19.94310087,-155.8561728,Private room,1,1,1,159,,,$0.00 ,$89.00 ,2,$0.00 ,t,7,26,44,134,201026.5235,2207728.077
21081727,Annie & Edna,9/24/2017,19.63957387,-155.9871906,Entire home/apt,2,2,3,175,,,$200.00 ,$135.00 ,4,$75.00 ,t,5,10,13,169,186708.5806,2174344.028
21935420,Marc,4/16/2015,20.01907666,-155.735283,Entire home/apt,1,2,4,230,,,$200.00 ,$150.00 ,4,$0.00 ,t,16,38,49,321,213825.7877,2215932.033
22068346,Jessica,7/13/2016,19.93202458,-155.7899661,Entire home/apt,1,1,1,110,,,$100.00 ,$50.00 ,1,$0.00 ,t,0,7,13,227,207940.6895,2206384.622
22325209,Kc,10/19/2016,20.02731213,-155.6559652,Entire home/apt,2.5,2,4,120,,,$200.00 ,$150.00 ,1,$0.00 ,t,1,1,1,1,222143.4134,2216710.298
22735389,Marc,4/16/2015,20.01846178,-155.7358365,Entire home/apt,2,2,0,340,,,$300.00 ,$175.00 ,1,$0.00 ,t,20,35,65,340,213766.7307,2215864.878
22790517,South Kohala,11/10/2015,20.00618471,-155.8151584,Entire home/apt,3,3,4,1832,,,$0.00 ,$618.00 ,1,$0.00 ,t,11,25,53,305,205439.8206,2214642.843
22892293,Bill,12/21/2011,19.93348236,-155.7914813,Entire home/apt,2,2,3,135,,,$250.00 ,$0.00 ,2,$10.00 ,t,17,19,30,305,207784.6623,2206548.724
23504818,South Kohala,11/10/2015,19.91787095,-155.8814441,Entire home/apt,2,2,3,366,,,$0.00 ,$268.00 ,1,$0.00 ,t,16,22,22,23,198331.5524,2204978.67
23787281,Brian,3/14/2018,20.02534024,-155.6685564,Entire home/apt,1,2,3,250,,,"$5,000.00 ",$125.00 ,1,$0.00 ,t,6,20,50,230,220821.9534,2216512.893
24122353,Malis,3/31/2018,20.07805361,-155.8445167,Entire home/apt,1,1,2,120,,,$100.00 ,$60.00 ,1,$0.00 ,t,9,17,41,131,202501.576,2222655.43
24310376,South Kohala,11/10/2015,20.00219559,-155.8086078,Entire home/apt,2,2,3,733,,,$0.00 ,$315.00 ,1,$0.00 ,t,20,33,52,313,206118.2421,2214189.473
24314426,Noelani,3/20/2017,19.91921624,-155.8806224,Entire home/apt,2,3,3,319,,,$500.00 ,$200.00 ,1,$0.00 ,t,16,26,33,277,198420.1897,2205126.208
24334325,South Kohala,11/10/2015,20.00552231,-155.8080808,Entire home/apt,3,3,3,1099,,,$0.00 ,$508.00 ,1,$0.00 ,t,18,47,77,343,206179.6022,2214557.023
24335061,South Kohala,11/10/2015,19.91672484,-155.8797072,Entire home/apt,2,2,2,366,,,$0.00 ,$268.00 ,1,$0.00 ,t,15,15,26,287,198511.3375,2204848.6
24352334,South Kohala,11/10/2015,19.92114785,-155.8854942,Entire home/apt,2.5,2,3,482,,,$0.00 ,$268.00 ,1,$0.00 ,t,17,23,27,145,197913.4895,2205348.925
24541360,South Kohala,11/10/2015,19.94473407,-155.866093,Entire home/apt,3.5,3,4,1343,,,$0.00 ,$404.00 ,1,$0.00 ,t,13,13,13,58,199990.5352,2207926.694
24541834,South Kohala,11/10/2015,19.94470467,-155.865374,Entire home/apt,2.5,2,3,1160,,,$0.00 ,$383.00 ,1,$0.00 ,t,17,17,17,170,200065.7897,2207922.151
24560670,Brian,3/14/2018,20.0247398,-155.6677054,Entire home/apt,1,2,4,250,,,"$5,000.00 ",$125.00 ,1,$0.00 ,t,1,1,2,182,220909.9716,2216444.971
24968605,Noelani,9/20/2017,20.02717586,-155.6801912,Entire home/apt,1,1,2,119,,,,$100.00 ,1,$0.00 ,t,15,15,44,319,219607.3243,2216735.676
25541914,David,4/2/2012,19.85554714,-155.6658133,Entire home/apt,4,5,5,1950,,,,,1,$0.00 ,t,23,53,83,173,220810.4787,2197703.412
25548733,David,4/2/2012,19.85413928,-155.6642242,Private room,1,2,1,750,,,,,1,$0.00 ,t,30,60,90,180,220974.5332,2197544.858
26371995,Eric,6/27/2018,20.02455434,-155.8118287,Private room,1,1,1,75,,,$0.00 ,$10.00 ,2,$15.00 ,t,11,25,45,70,205822.6398,2216671.657
