,user_id,longitude,latitude,date_taken,photo/video_page_url,x,y
63,46274038@N00,139.771413,35.717231,2010-11-28 22:42:30.0,http://www.flickr.com/photos/46274038@N00/5213930963/,389175.15892239945,3952525.8850044925
64,115693927@N08,139.732602,35.67628,2014-01-24 15:31:30.0,http://www.flickr.com/photos/115693927@N08/13242912025/,385605.85441093997,3948028.314310924
65,87603797@N00,139.7105,35.665166,2011-12-06 20:16:19.0,http://www.flickr.com/photos/87603797@N00/6562239481/,383589.39411609754,3946821.602257185
66,52465044@N00,139.646755,35.554390999999995,2009-05-22 22:12:59.0,http://www.flickr.com/photos/52465044@N00/3558659435/,377650.506327056,3934612.2534732
67,81217355@N00,139.77752900000002,35.624686,2010-11-05 13:17:58.0,http://www.flickr.com/photos/81217355@N00/5148169915/,389600.6621869533,3942254.1412901315
68,56638827@N00,139.748275,35.751834,2011-05-21 14:49:29.0,http://www.flickr.com/photos/56638827@N00/5743040209/,387131.17411077535,3956390.4550846037
69,47235998@N00,139.729442,35.674868,2006-10-28 10:08:21.0,http://www.flickr.com/photos/47235998@N00/283739514/,385317.84204984293,3947875.392472187
70,95795770@N00,139.718166,35.638666,2007-06-15 14:02:36.0,http://www.flickr.com/photos/95795770@N00/551033440/,384244.949418428,3943873.20406818
71,47379538@N00,139.69716599999998,35.673333,2010-10-31 15:34:51.0,http://www.flickr.com/photos/47379538@N00/5191388473/,382394.4793096109,3947743.392818391
72,44124386632@N01,139.751586,35.715298,2010-04-03 11:04:01.0,http://www.flickr.com/photos/44124386632@N01/4488433676/,387378.97014773946,3952334.113317531
73,36046484@N00,139.697105,35.678072,2008-04-21 09:00:02.0,http://www.flickr.com/photos/36046484@N00/2430713733/,382395.93006704585,3948269.1084385277
74,30242314@N00,139.702448,35.646739000000004,2007-02-01 00:00:00.0,http://www.flickr.com/photos/30242314@N00/377410297/,382833.5836613226,3944787.310757841
75,74347498@N00,139.666914,35.700853,2011-11-19 23:02:34.0,http://www.flickr.com/photos/74347498@N00/6387389663/,379697.9263340016,3950832.617196594
76,56730520@N04,139.76051299999995,35.708486,2009-09-22 17:35:29.0,http://www.flickr.com/photos/56730520@N04/5774924896/,388176.9447778547,3951568.3033814887
77,36187690@N04,139.772309,35.666444,2012-08-01 20:26:10.0,http://www.flickr.com/photos/36187690@N04/7690512036/,389185.7801868663,3946891.6949887476
78,39952962@N00,139.700447,35.658726,2008-10-23 15:30:27.0,http://www.flickr.com/photos/39952962@N00/3328378759/,382670.0005772734,3946119.2775268657
79,87206714@N00,139.73825,35.541402000000005,2011-11-22 17:00:49.0,http://www.flickr.com/photos/87206714@N00/6657140573/,385925.1728780268,3933061.516180254
80,37102254@N00,139.67966,35.659728,2010-06-20 14:43:50.0,http://www.flickr.com/photos/37102254@N00/4717417776/,380789.80407262105,3946255.4994188608
81,16613320@N00,139.76284099999998,35.660622,2013-12-21 13:53:03.0,http://www.flickr.com/photos/16613320@N00/11507985244/,388320.67460071534,3946256.683205681
